Category,Model,Model Year,Manufacturer,Fuel,All Electric Range,Alternative Fuel Economy City,Alternative Fuel Economy Highway,Alternative Fuel Economy Combined,Conventional Fuel Economy City,Conventional Fuel Economy Highway,Conventional Fuel Economy Combined,Transmission Type,Transmission Make,Engine Type,Engine Size,Engine Cylinder Count,Number of Passengers,Heavy-Duty Power System,Notes
Sedan/Wagon,NSX,2021,Acura,Hybrid Electric,,,,,21.0,22.0,21.0,Auto,,SI,3.5L,6,,,""
Sedan/Wagon,A4 allroad quattro,2021,Audi,Hybrid Electric,,,,,24.0,30.0,26.0,Auto,,SI,2.0L,4,,,""
Sedan/Wagon,A4 quattro,2021,Audi,Hybrid Electric,,,,,25.0,34.0,28.0,Auto,,SI,2.0L,4,,,""
Sedan/Wagon,A4 S line quattro,2021,Audi,Hybrid Electric,,,,,24.0,31.0,27.0,Auto,,SI,2.0L,4,,,""
Sedan/Wagon,A5 Cabriolet quattro,2021,Audi,Hybrid Electric,,,,,23.0,31.0,26.0,Auto,,SI,2.0L,4,,,""
Sedan/Wagon,A5 quattro,2021,Audi,Hybrid Electric,,,,,24.0,31.0,27.0,Auto,,SI,2.0L,4,,,""
Sedan/Wagon,A5 Sportback quattro,2021,Audi,Hybrid Electric,,,,,25.0,34.0,28.0,Auto,,SI,2.0L,4,,,""
Sedan/Wagon,A5 Sportback S line quattro,2021,Audi,Hybrid Electric,,,,,24.0,31.0,27.0,Auto,,SI,2.0L,4,,,""
Sedan/Wagon,A6 Allroad,2021,Audi,Hybrid Electric,,,,,20.0,26.0,22.0,Auto,,SI,3.0L,6,,,""
Sedan/Wagon,A6 quattro,2021,Audi,Hybrid Electric,,,,,23.0,31.0,26.0,Auto,,SI,2.0L,4,,,""
Sedan/Wagon,A6 quattro,2021,Audi,Hybrid Electric,,,,,22.0,29.0,24.0,Auto,,SI,3.0L,6,,,""
Sedan/Wagon,A7 quattro,2021,Audi,Plug-in Hybrid Electric,24,,,68.0,26.0,34.0,29.0,Auto,,SI,2.0L,4,,,""
Sedan/Wagon,A7 quattro,2021,Audi,Hybrid Electric,,,,,22.0,29.0,24.0,Auto,,SI,3.0L,6,,,""
Sedan/Wagon,A8L,2021,Audi,Hybrid Electric,,,,,17.0,26.0,21.0,Auto,,SI,3.0L,6,,,""
Sedan/Wagon,A8L,2021,Audi,Hybrid Electric,,,,,15.0,23.0,18.0,Auto,,SI,4.0L,8,,,""
Sedan/Wagon,A8L,2021,Audi,Plug-in Hybrid Electric,18,,,53.0,21.0,26.0,23.0,Auto,,SI,3.0L,6,,,""
SUV,e-tron,2021,Audi,Electric,222,78.0,77.0,78.0,,,,Auto,,e-motor,141 kW and 172 kW electric motor,,,,""
SUV,e-tron Sportback,2021,Audi,Electric,218,76.0,78.0,77.0,,,,Auto,,e-motor,141 kW and 172 kW electric motor,,,,""
SUV,Q5,2021,Audi,Plug-in Hybrid Electric,19,,,50.0,25.0,29.0,27.0,Auto,,SI,2.0L,4,,,""
SUV,Q5,2021,Audi,Hybrid Electric,,,,,23.0,28.0,25.0,Auto,,SI,2.0L,4,,,""
SUV,Q5 Sportback,2021,Audi,Hybrid Electric,,,,,23.0,28.0,25.0,Auto,,SI,2.0L,4,,,""
SUV,Q7,2021,Audi,Hybrid Electric,,,,,18.0,23.0,20.0,Auto,,SI,3.0L,6,,,""
SUV,Q8,2021,Audi,Hybrid Electric,,,,,18.0,231.0,20.0,Auto,,SI,3.0L,6,,,""
Sedan/Wagon,RS 6 Avant,2021,Audi,Hybrid Electric,,,,,15.0,22.0,17.0,Auto,,SI,4.0L,8,,,""
Sedan/Wagon,RS7,2021,Audi,Hybrid Electric,,,,,15.0,22.0,17.0,Auto,,SI,4.0L,8,,,""
Sedan/Wagon,RS Q8,2021,Audi,Hybrid Electric,,,,,13.0,19.0,15.0,Auto,,SI,4.0L,8,,,""
Sedan/Wagon,S6,2021,Audi,Hybrid Electric,,,,,18.0,28.0,22.0,Auto,,SI,2.9L,6,,,""
Sedan/Wagon,S7,2021,Audi,Hybrid Electric,,,,,18.0,28.0,22.0,Auto,,SI,2.9L,6,,,""
Sedan/Wagon,S8,2021,Audi,Hybrid Electric,,,,,13.0,22.0,16.0,Auto,,SI,4.0L,8,,,""
